"time","lat","lng","speed","altitude"
"1557601636","42.60164","-73.84117","0.0","55.78"
"1557601694","42.60163","-73.84117","0.0","53.95"
"1557601755","42.60164","-73.84116","0.0","58.83"
"1557601812","42.60167","-73.84114","0.0","64.92"
"1557602056","42.60171","-73.84112","0.0","68.88"
"1557602116","42.60167","-73.84112","0.0","66.75"
"1557602174","42.60164","-73.84109","0.0","63.7"
"1557602235","42.60171","-73.84114","1.0","65.84"
"1557602295","42.60169","-73.84114","0.0","61.87"
"1557602353","42.60167","-73.84112","0.0","60.96"
"1557602418","42.60166","-73.84114","0.0","57.91"
"1557602476","42.60168","-73.84117","0.0","62.79"
"1557602534","42.60169","-73.84114","0.0","66.75"
"1557602593","42.60167","-73.84113","0.0","67.97"
"1557602654","42.60164","-73.84113","0.0","64.92"
"1557602716","42.60168","-73.84116","0.0","61.87"
"1557602774","42.60167","-73.84117","0.0","70.71"
"1557602834","42.60168","-73.84116","0.0","66.75"
"1557602896","42.60168","-73.8412","0.0","71.93"
"1557602955","42.60169","-73.84114","0.0","67.97"
"1557603018","42.60169","-73.84117","0.0","71.93"
"1557603075","42.6017","-73.84117","0.0","65.84"
"1557603134","42.60168","-73.84116","0.0","70.71"
"1557603195","42.60166","-73.84118","0.0","75.9"
"1557603256","42.60168","-73.84118","0.0","71.93"
"1557603315","42.60169","-73.84117","0.0","64.92"
"1557603496","42.60167","-73.84114","0.0","64.92"
"1557603616","42.60169","-73.84117","0.0","58.83"
"1557603735","42.60166","-73.84114","0.0","63.7"
"1557603854","42.6017","-73.8412","0.0","57.91"
"1557603914","42.60171","-73.8412","0.0","57.0"
"1557603975","42.6017","-73.84114","0.0","54.86"
"1557604037","42.60169","-73.84114","0.0","55.78"
"1557604096","42.60169","-73.84117","0.0","53.95"
"1557604155","42.6017","-73.84118","0.0","53.95"
"1557604217","42.60173","-73.84118","0.0","52.73"
"1557604277","42.60172","-73.8412","0.0","57.0"
"1557604335","42.60171","-73.8412","0.0","53.95"
"1557604396","42.60172","-73.8412","0.0","59.74"
"1557604573","42.60171","-73.84118","0.0","58.83"
"1557604635","42.6017","-73.84117","0.0","64.92"
"1557604813","42.60169","-73.84118","0.0","69.8"
"1557604875","42.60168","-73.84114","0.0","67.97"
"1557604935","42.60169","-73.84116","0.0","66.75"
"1557604995","42.60172","-73.8412","0.0","57.0"
"1557605114","42.60173","-73.8412","0.0","58.83"
"1557605175","42.60172","-73.8412","0.0","60.96"
"1557605233","42.6017","-73.8412","0.0","64.92"
"1557605293","42.60169","-73.8412","0.0","65.84"
"1557609256","42.60168","-73.8412","0.0","66.75"
"1557609316","42.60167","-73.84118","0.0","69.8"
"1557609375","42.60168","-73.8412","0.0","67.97"
"1557609435","42.60165","-73.84117","0.0","68.88"
"1557609493","42.60167","-73.8412","0.0","64.92"
"1557609555","42.6017","-73.84117","0.0","62.79"
"1557609613","42.60169","-73.8412","0.0","58.83"
"1557609674","42.60168","-73.84118","0.0","63.7"
"1557609736","42.60167","-73.84117","0.0","63.7"
"1557609797","42.60168","-73.84118","0.0","68.88"
"1557609915","42.60168","-73.84113","0.0","65.84"
"1557609975","42.60166","-73.84117","0.0","64.92"
"1557610033","42.60165","-73.84116","0.0","66.75"
"1557610097","42.60168","-73.84114","0.0","64.92"
"1557610157","42.60167","-73.84117","0.0","66.75"
"1557610214","42.60168","-73.84114","0.0","65.84"
"1557610273","42.6017","-73.84117","0.0","67.97"
"1557610334","42.60169","-73.84117","0.0","64.92"
"1557610395","42.6017","-73.84114","0.0","69.8"
"1557610455","42.60174","-73.84114","0.0","78.94"
"1557610514","42.60167","-73.84114","0.0","57.91"
"1557610576","42.60165","-73.84132","1.0","50.9"
"1557610635","42.60169","-73.84113","1.0","64.92"
"1557610756","42.60169","-73.84116","0.0","62.79"
"1557610813","42.60168","-73.84114","0.0","64.92"
"1557610936","42.60169","-73.84117","0.0","60.96"
"1557611053","42.60165","-73.84112","0.0","60.96"
"1557611118","42.60164","-73.84112","0.0","61.87"
"1557611175","42.60161","-73.84111","0.0","63.7"
"1557611235","42.60164","-73.84114","0.0","67.97"
"1557611296","42.60163","-73.84112","0.0","66.75"
"1557611357","42.60161","-73.84112","0.0","65.84"
"1557611416","42.60163","-73.84108","0.0","62.79"
"1557611476","42.60161","-73.84111","0.0","61.87"
"1557611593","42.60164","-73.84112","0.0","63.7"
"1557611655","42.60164","-73.84116","0.0","62.79"
"1557611717","42.60164","-73.84114","0.0","61.87"
"1557611834","42.60166","-73.84117","0.0","62.79"
