time,lasttime,lat,lng,speed,course,altitude,comment
2019-05-11 15:07:16,2019-05-11 15:07:16,42.60164,-73.84117,,,55.78,http://www.pi-in-the-sky.com
2019-05-11 15:08:14,2019-05-11 15:08:14,42.60163,-73.84117,,,53.95,http://www.pi-in-the-sky.com
2019-05-11 15:09:15,2019-05-11 15:09:15,42.60164,-73.84116,,,58.83,http://www.pi-in-the-sky.com
2019-05-11 15:10:12,2019-05-11 15:10:12,42.60167,-73.84114,,,64.92,http://www.pi-in-the-sky.com
2019-05-11 15:14:16,2019-05-11 15:14:16,42.60171,-73.84112,,,68.88,http://www.pi-in-the-sky.com
2019-05-11 15:15:16,2019-05-11 15:15:16,42.60167,-73.84112,,,66.75,http://www.pi-in-the-sky.com
2019-05-11 15:16:14,2019-05-11 15:16:14,42.60164,-73.84109,,,63.7,http://www.pi-in-the-sky.com
2019-05-11 15:17:15,2019-05-11 15:17:15,42.60171,-73.84114,1,,65.84,http://www.pi-in-the-sky.com
2019-05-11 15:18:15,2019-05-11 15:18:15,42.60169,-73.84114,,,61.87,http://www.pi-in-the-sky.com
2019-05-11 15:19:13,2019-05-11 15:19:13,42.60167,-73.84112,,,60.96,http://www.pi-in-the-sky.com
2019-05-11 15:20:18,2019-05-11 15:20:18,42.60166,-73.84114,,,57.91,http://www.pi-in-the-sky.com
2019-05-11 15:21:16,2019-05-11 15:21:16,42.60168,-73.84117,,,62.79,http://www.pi-in-the-sky.com
2019-05-11 15:22:14,2019-05-11 15:22:14,42.60169,-73.84114,,,66.75,http://www.pi-in-the-sky.com
2019-05-11 15:23:13,2019-05-11 15:23:13,42.60167,-73.84113,,,67.97,http://www.pi-in-the-sky.com
2019-05-11 15:24:14,2019-05-11 15:24:14,42.60164,-73.84113,,,64.92,http://www.pi-in-the-sky.com
2019-05-11 15:25:16,2019-05-11 15:25:16,42.60168,-73.84116,,,61.87,http://www.pi-in-the-sky.com
2019-05-11 15:26:14,2019-05-11 15:26:14,42.60167,-73.84117,,,70.71,http://www.pi-in-the-sky.com
2019-05-11 15:27:14,2019-05-11 15:27:14,42.60168,-73.84116,,,66.75,http://www.pi-in-the-sky.com
2019-05-11 15:28:16,2019-05-11 15:28:16,42.60168,-73.8412,,,71.93,http://www.pi-in-the-sky.com
2019-05-11 15:29:15,2019-05-11 15:29:15,42.60169,-73.84114,,,67.97,http://www.pi-in-the-sky.com
2019-05-11 15:30:18,2019-05-11 15:30:18,42.60169,-73.84117,,,71.93,http://www.pi-in-the-sky.com
2019-05-11 15:31:15,2019-05-11 15:31:15,42.6017,-73.84117,,,65.84,http://www.pi-in-the-sky.com
2019-05-11 15:32:14,2019-05-11 15:32:14,42.60168,-73.84116,,,70.71,http://www.pi-in-the-sky.com
2019-05-11 15:33:15,2019-05-11 15:33:15,42.60166,-73.84118,,,75.9,http://www.pi-in-the-sky.com
2019-05-11 15:34:16,2019-05-11 15:34:16,42.60168,-73.84118,,,71.93,http://www.pi-in-the-sky.com
2019-05-11 15:35:15,2019-05-11 15:36:13,42.60169,-73.84117,,,64.92,http://www.pi-in-the-sky.com
2019-05-11 15:38:16,2019-05-11 15:39:14,42.60167,-73.84114,,,64.92,http://www.pi-in-the-sky.com
2019-05-11 15:40:16,2019-05-11 15:41:18,42.60169,-73.84117,,,58.83,http://www.pi-in-the-sky.com
2019-05-11 15:42:15,2019-05-11 15:43:17,42.60166,-73.84114,,,63.7,http://www.pi-in-the-sky.com
2019-05-11 15:44:14,2019-05-11 15:44:14,42.6017,-73.8412,,,57.91,http://www.pi-in-the-sky.com
2019-05-11 15:45:14,2019-05-11 15:45:14,42.60171,-73.8412,,,57,http://www.pi-in-the-sky.com
2019-05-11 15:46:15,2019-05-11 15:46:15,42.6017,-73.84114,,,54.86,http://www.pi-in-the-sky.com
2019-05-11 15:47:17,2019-05-11 15:47:17,42.60169,-73.84114,,,55.78,http://www.pi-in-the-sky.com
2019-05-11 15:48:16,2019-05-11 15:48:16,42.60169,-73.84117,,,53.95,http://www.pi-in-the-sky.com
