time,temp
211232, 0.00
211235, 23.25
211238, 23.25
211241, 23.00
211244, 23.00
211247, 23.00
211249, 23.00
211252, 23.00
211255, 22.75
211258, 23.00
211261, 22.75
211264, 23.00
211267, 23.00
211270, 23.25
211273, 23.25
211275, 23.25
211278, 23.25
211281, 23.25
211284, 23.25
211287, 23.25
211290, 23.25
211293, 23.25
211296, 23.25
211299, 23.25
211301, 23.00
211304, 23.00
211307, 23.00
211310, 23.00
211313, 23.00
211316, 23.50
211319, 23.50
211322, 23.50
211324, 23.25
211328, 23.50
211331, 23.50
211334, 23.50
211337, 23.25
211340, 23.50
211343, 23.25
211345, 23.25
211348, 23.25
211351, 23.25
211354, 23.25
211357, 23.25
211360, 23.00
211363, 23.00
211366, 23.00
211369, 23.00
211371, 23.00
211374, 23.00
211377, 23.00
211380, 23.00
211383, 23.00
211386, 23.00
211389, 23.00
211392, 23.25
211394, 23.00
211397, 22.75
211400, 22.75
211403, 22.75
211406, 22.75
211409, 23.00
211412, 22.75
211415, 23.00
211417, 23.00
211420, 23.00
211423, 23.25
211426, 23.25
211429, 23.25
211432, 23.25
211435, 23.00
211438, 23.25
211441, 23.00
211443, 23.00
211446, 23.25
211449, 23.25
211452, 23.25
211455, 23.25
211458, 23.25
211461, 23.25
211464, 23.00
211466, 23.25
211469, 23.00
211472, 23.00
211475, 23.00
211478, 23.00
211481, 23.00
211484, 23.25
211487, 23.00
211489, 23.00
211492, 23.00
211495, 23.25
211498, 23.50
211501, 23.50
211504, 23.25
211507, 23.00
211510, 22.75
211513, 23.00
211515, 23.00
211518, 23.00
211521, 23.00
211524, 23.00
211527, 23.00
211530, 23.00
211533, 23.00
211536, 23.00
211538, 23.00
211541, 23.00
211544, 23.00
211547, 23.25
211550, 23.25
211553, 23.00
211556, 23.00
211559, 23.00
211561, 23.00
211564, 23.00
211567, 23.25
211570, 23.00
211573, 23.00
211576, 23.00
211579, 23.00
211582, 23.00
211585, 23.00
211587, 23.00
211590, 22.75
211593, 23.00
211596, 23.00
211599, 23.00
211602, 23.00
211605, 23.00
211608, 23.00
211610, 23.00
211613, 23.00
211616, 23.00
211619, 23.00
211622, 22.75
211625, 22.75
211628, 23.00
211631, 23.00
211634, 13.50
211636, 23.00
211639, 23.00
211642, 23.00
211645, 23.00
211648, 23.00
211651, 23.00
211654, 23.00
211657, 23.00
211659, 23.00
211662, 23.00
211665, 23.00
211668, 23.00
211671, 23.00
211674, 23.00
211677, 23.00
211680, 23.00
211683, 23.00
211685, 23.00
211688, 23.00
211691, 23.00
211694, 23.00
211697, 23.00
211700, 23.00
211703, 22.75
211706, 22.75
211708, 23.00
211711, 23.00
211714, 23.00
211717, 22.75
211720, 22.75
211723, 22.75
211726, 22.75
211729, 22.75
211731, 23.00
211734, 22.75
211737, 23.00
211740, 22.75
211743, 23.00
211746, 23.00
211749, 23.00
211752, 23.25
211755, 23.50
211757, 23.00
211760, 23.00
211763, 23.00
211766, 23.00
211769, 23.00
211772, 22.75
211775, 22.75
211778, 22.75
211780, 23.00
211783, 23.25
211786, 23.00
211789, 22.75
211792, 23.00
211795, 22.75
211798, 23.00
211801, 22.75
211803, 22.75
211806, 23.00
211809, 23.25
211812, 23.00
211815, 23.00
211818, 22.75
211821, 23.00
211824, 22.75
211827, 22.75
211829, 22.75
211832, 22.50
211835, 22.50
211838, 22.75
211841, 23.00
211844, 22.75
211847, 22.75
211850, 23.00
211853, 23.00
211855, 23.00
211858, 23.25
211861, 23.00
211864, 23.25
211867, 23.00
211870, 23.00
211873, 22.75
211876, 22.75
211878, 22.75
211881, 23.00
214706, 23.50
214709, 23.50
214712, 23.50
214715, 23.50
214720, 23.25
214723, 23.50
214725, 23.25
214728, 23.25
214731, 23.00
214734, 23.00
214737, 22.75
214740, 23.00
214743, 23.00
214746, 22.75
214749, 22.75
214752, 23.00
214755, 22.75
214758, 22.75
214761, 22.75
214764, 23.00
214767, 23.00
214770, 22.75
214773, 22.50
214775, 22.50
214778, 22.75
214781, 22.75
214784, 22.75
214787, 22.75
214790, 23.00
214793, 23.00
214796, 23.00
214799, 23.25
214801, 23.25
214804, 23.25
214807, 23.00
214810, 23.25
214813, 23.00
214816, 23.00
214819, 23.25
214822, 23.00
214824, 23.25
214827, 23.25
214830, 23.00
214833, 22.75
214836, 22.75
214839, 23.00
214842, 22.75
214845, 22.75
214848, 22.50
214850, 22.50
214853, 22.75
214856, 23.00
214859, 23.25
214862, 23.25
214865, 22.75
214868, 23.00
214871, 23.00
214873, 23.00
214876, 23.00
214879, 23.25
214882, 23.50
214885, 23.50
214888, 23.50
214891, 23.50
214894, 23.00
214896, 23.50
214899, 23.25
214902, 23.25
214905, 23.25
214908, 23.50
214911, 23.25
214914, 23.25
214917, 23.25
214920, 23.25
214922, 23.25
214925, 23.25
214928, 23.25
214931, 23.50
214934, 23.50
214937, 23.50
214940, 23.50
214943, 23.75
214945, 23.50
214948, 23.25
214951, 23.50
214954, 23.50
214957, 23.50
214960, 23.50
214963, 23.25
214966, 23.25
214969, 23.25
214972, 23.25
214975, 23.25
214978, 23.00
214980, 23.25
214983, 23.50
214986, 23.50
214989, 23.50
214992, 23.50
214995, 23.50
215003, 24.50
215006, 24.50
215009, 24.25
215012, 23.75
215015, 23.50
215018, 23.50
215021, 23.50
215023, 23.50
215026, 23.25
215029, 23.50
215032, 23.25
215035, 23.00
215038, 23.25
215041, 23.25
215044, 23.25
215047, 23.25
215049, 23.50
215052, 23.25
215055, 23.25
215058, 23.25
215061, 23.00
215064, 23.00
215067, 22.75
215070, 22.50
215072, 22.25
215075, 22.50
215078, 22.75
215081, 22.75
215084, 22.50
215087, 23.00
215090, 23.00
215093, 23.00
215095, 23.25
215098, 23.25
215101, 23.50
215104, 23.50
215107, 23.50
215110, 23.75
215113, 23.75
215116, 23.75
215119, 24.00
215121, 24.00
215124, 23.75
215127, 24.00
215130, 23.75
215133, 24.00
215136, 24.00
215139, 24.00
215142, 24.00
215144, 24.00
215147, 23.75
215150, 23.50
215153, 23.50
215156, 23.75
215159, 23.75
215162, 23.75
215165, 23.75
215168, 23.75
215171, 24.00
215173, 24.00
215176, 23.50
215179, 23.50
215182, 23.75
215185, 23.75
215188, 23.25
215191, 23.75
215194, 23.50
215197, 23.50
215199, 23.50
215202, 23.50
215205, 23.75
215208, 23.50
215211, 23.25
215214, 23.25
215217, 23.25
215220, 23.50
215222, 23.25
215225, 23.25
215229, 23.25
215232, 23.25
215235, 23.25
215237, 23.25
215240, 23.25
215243, 23.25
215246, 23.25
215249, 23.50
215252, 23.25
215255, 23.50
215258, 23.25
215261, 23.25
215263, 23.00
215266, 23.25
215269, 23.25
215272, 23.25
215275, 23.75
215278, 23.50
215281, 23.50
215284, 21.50
215286, 23.50
215289, 23.50
215292, 23.50
215295, 23.50
215298, 23.25
215301, 23.50
215304, 23.50
215307, 23.50
215309, 23.50
215312, 23.50
215315, 23.75
215318, 23.50
215321, 23.75
215324, 23.50
215327, 23.50
215330, 23.25
215333, 23.25
215335, 23.50
215338, 23.25
215341, 23.50
215344, 23.75
215347, 24.00
215350, 24.25
215353, 24.25
215356, 24.25
215358, 24.25
215361, 24.00
215364, 24.00
215367, 24.00
215370, 23.75
215373, 23.50
215376, 23.50
215379, 23.50
215381, 23.50
215384, 23.50
215387, 23.75
215390, 23.50
215393, 23.50
215397, 23.50
215400, 23.25
215403, 23.25
215405, 23.50
215408, 23.50
215411, 23.25
215414, 23.25
215417, 23.25
215420, 23.50
215423, 23.25
215426, 23.50
215428, 23.50
215431, 23.50
215435, 23.25
215438, 23.25
215441, 23.25
215444, 23.25
215447, 23.25
215450, 23.25
215452, 23.25
215455, 23.25
215458, 23.25
215461, 23.25
215464, 23.00
215467, 23.00
215470, 23.25
215473, 23.25
215513, 23.00
215516, 22.75
215519, 23.00
215522, 22.75
215525, 22.75
215528, 22.75
215531, 23.00
215534, 23.00
215536, 23.25
215539, 23.25
215542, 23.00
215545, 22.75
215548, 22.75
215551, 23.00
215554, 23.00
215557, 23.00
215559, 23.00
215562, 23.00
215565, 23.00
215568, 23.25
215571, 23.00
215574, 23.25
215577, 23.00
215580, 23.00
215583, 23.00
215585, 23.25
215588, 23.25
215591, 23.25
215594, 23.25
215597, 23.25
215600, 23.25
215603, 23.25
215606, 23.25
215608, 23.25
215611, 23.25
215614, 23.25
215617, 23.00
215620, 23.25
215623, 23.00
215626, 23.25
215629, 23.00
215631, 23.00
215634, 23.00
215637, 23.00
215640, 22.75
215643, 23.00
215646, 23.25
215649, 23.25
215652, 23.00
215655, 23.00
215657, 23.00
215660, 23.00
215663, 23.00
215666, 23.00
215669, 23.00
215672, 23.25
215675, 23.00
215678, 23.00
215680, 23.00
215683, 23.25
215686, 23.00
215689, 23.25
215692, 23.25
215695, 23.25
215698, 23.25
215701, 23.25
215703, 23.00
215706, 23.00
215709, 23.00
215712, 23.00
215715, 23.25
215718, 23.25
215721, 23.50
215724, 23.25
215727, 23.00
215729, 23.25
215732, 23.25
215735, 23.25
215738, 23.25
215741, 23.00
215744, 23.00
215747, 23.00
215750, 23.00
215752, 23.00
215755, 23.00
215758, 23.25
215761, 23.25
215764, 23.50
215767, 23.50
215770, 23.50
215773, 23.50
215775, 23.50
215778, 23.25
215781, 23.50
215784, 23.25
215787, 23.50
215790, 23.50
215793, 23.50
215796, 23.50
215799, 23.25
215801, 23.25
215804, 23.25
215807, 23.50
215810, 23.50
215813, 23.75
215816, 23.75
215819, 23.75
215822, 23.50
215824, 23.50
215827, 23.50
215830, 23.75
215833, 23.50
215836, 23.75
215839, 23.75
215842, 24.00
215845, 24.00
215847, 23.75
215850, 23.75
215853, 24.00
215856, 24.00
215859, 24.00
215862, 23.75
215865, 24.00
215868, 23.75
215871, 23.75
215873, 23.75
215876, 23.75
215879, 23.75
215882, 23.50
215885, 23.50
215888, 23.50
215891, 23.75
215894, 23.75
215896, 23.75
215899, 23.75
215902, 23.50
215905, 23.50
215908, 23.25
215911, 23.25
215914, 23.25
215917, 23.25
215919, 23.00
215922, 23.25
215925, 23.25
215928, 23.00
215931, 23.00
215934, 23.00
215937, 23.25
215940, 23.25
215943, 23.25
215945, 23.25
215948, 23.25
215951, 23.25
215954, 23.25
215957, 23.50
215960, 23.25
215963, 23.50
215966, 23.00
215968, 23.25
215971, 23.00
215974, 23.00
215977, 23.00
215980, 23.00
215983, 23.00
215986, 23.25
215989, 22.75
215991, 22.75
215994, 22.75
215997, 22.75
216000, 22.75
216003, 23.00
216006, 23.00
216009, 23.25
216017, 23.25
216020, 23.00
216023, 23.25
216026, 23.25
216029, 25.00
216032, 25.25
216035, 24.25
216038, 24.00
216041, 24.00
216044, 23.75
216047, 23.75
216050, 23.50
216053, 23.75
216056, 24.00
216059, 23.75
216061, 24.50
216064, 24.25
216067, 24.00
216070, 24.25
216073, 24.50
216076, 24.75
216079, 24.75
216082, 24.00
216085, 23.75
216088, 23.75
216091, 23.75
216094, 23.25
216097, 23.25
216099, 23.25
216102, 23.25
216105, 23.25
216108, 22.75
