time,uvindex
213417, 1;;--;;213417
213419, 1;;--;;213419
213421, 1;;--;;213421
213423, 1;;--;;213423
213425, 1;;--;;213425
213451, 1;;--;;213451
213453, 1;;--;;213453
213455, 1;;--;;213455
213457, 1;;--;;213457
213459, 1;;--;;213459
213461, 1;;--;;213461
213463, 1;;--;;213463
213465, 1;;--;;213465
213467, 1;;--;;213467
213469, 1;;--;;213469
213471, 1;;--;;213471
213473, 1;;--;;213473
213475, 1;;--;;213475
213477, 1;;--;;213477
213479, 1;;--;;213479
214701, 1
214703, 1
214707, 1
214709, 1
214711, 1
214713, 1
214715, 1
214719, 1
214721, 1
214723, 1
214725, 1
214727, 1
214729, 1
214731, 0
214733, 1
214735, 1
214737, 1
214739, 1
214741, 1
214743, 1
214745, 1
214747, 1
214749, 1
214751, 1
214753, 1
214755, 1
214757, 1
214759, 1
214761, 1
214763, 1
214765, 1
214767, 1
214769, 1
214771, 1
214773, 1
214775, 1
214777, 1
214779, 1
214781, 1
214783, 1
214785, 1
214787, 1
214789, 1
214791, 1
214793, 1
214795, 1
214797, 1
214799, 1
214801, 1
214803, 1
214805, 1
214807, 1
214809, 1
214811, 1
214813, 1
214815, 1
214817, 1
214819, 1
214821, 1
214823, 1
214825, 1
214827, 1
214829, 1
214831, 1
214833, 1
214835, 1
214837, 1
214839, 0
214841, 1
214843, 1
214845, 1
214847, 1
214849, 1
214851, 1
214853, 1
214855, 1
214857, 1
214859, 1
214861, 1
214863, 1
214865, 1
214867, 1
214869, 1
214871, 1
214873, 1
214875, 1
214877, 1
214879, 1
214881, 1
214883, 1
214885, 1
214887, 1
214889, 1
214891, 1
214893, 1
214895, 1
214897, 1
214899, 1
214901, 1
214903, 1
214905, 1
214907, 1
214909, 1
214911, 1
214913, 1
214915, 1
214917, 1
214919, 1
214921, 1
214923, 1
214925, 1
214927, 1
214929, 1
214931, 1
214933, 1
214935, 1
214937, 1
214939, 1
214941, 1
214943, 1
214945, 1
214947, 1
214949, 1
214951, 1
214953, 1
214955, 1
214957, 1
214959, 1
214962, 1
214964, 1
214966, 1
214968, 1
214970, 1
214972, 1
214974, 1
214976, 1
214978, 1
214980, 1
214982, 1
214984, 1
214986, 1
214988, 1
214990, 1
214992, 1
214994, 1
214996, 0
214999, 1
215001, 1
215004, 1
215006, 1
215008, 1
215010, 1
215012, 1
215014, 1
215016, 1
215018, 1
215020, 1
215022, 1
215024, 1
215026, 1
215028, 1
215030, 1
215032, 1
215034, 1
215036, 1
215038, 1
215040, 1
215042, 1
215044, 1
215046, 1
215048, 1
215050, 1
215052, 1
215054, 1
215056, 1
215058, 1
215060, 1
215062, 1
215064, 1
215066, 1
215068, 1
215070, 1
215072, 1
215074, 1
215076, 1
215078, 1
215080, 1
215082, 1
215084, 1
215086, 1
215088, 1
215090, 1
215092, 1
215094, 1
215096, 1
215098, 1
215100, 1
215102, 1
215104, 1
215106, 1
215108, 1
215110, 1
215112, 1
215114, 1
215116, 1
215118, 1
215120, 1
215122, 1
215124, 1
215126, 1
215128, 1
215130, 1
215132, 1
215134, 1
215136, 1
215138, 1
215140, 1
215142, 1
215144, 1
215146, 1
215148, 1
215150, 1
215152, 1
215154, 1
215156, 1
215158, 1
215161, 1
215163, 1
215165, 1
215167, 1
215169, 1
215171, 0
215173, 1
215175, 1
215177, 1
215179, 1
215181, 1
215183, 1
215185, 1
215187, 1
215189, 1
215191, 1
215193, 1
215195, 1
215197, 1
215199, 1
215201, 1
215203, 1
215205, 1
215207, 1
215209, 1
215211, 1
215213, 1
215215, 1
215217, 1
215219, 1
215221, 1
215223, 1
215225, 1
215228, 1
215230, 1
215232, 1
215234, 1
215236, 1
215238, 1
215240, 1
215242, 1
215244, 1
215246, 1
215248, 1
215250, 1
215252, 1
215254, 1
215256, 1
215258, 1
215260, 1
215262, 1
215264, 1
215266, 1
215268, 1
215270, 1
215272, 1
215274, 1
215276, 1
215278, 1
215280, 1
215282, 1
215284, 1
215286, 1
215288, 1
215290, 1
215292, 1
215294, 1
215296, 1
215298, 1
215300, 1
215302, 1
215304, 1
215306, 1
215308, 1
215310, 1
215312, 1
215314, 1
215316, 1
215318, 1
215320, 1
215322, 1
215324, 1
215326, 1
215328, 1
215330, 1
215332, 1
215334, 1
215336, 1
215338, 1
215340, 1
215342, 1
215344, 1
215346, 1
215348, 1
215350, 1
215352, 1
215354, 1
215356, 1
215359, 1
215361, 1
215363, 1
215365, 1
215367, 1
215369, 1
215371, 1
215373, 1
215375, 1
215377, 1
215379, 1
215381, 1
215383, 1
215385, 1
215387, 1
215389, 1
215391, 1
215393, 1
215392, 1
215394, 1
215398, 1
215400, 1
215402, 1
215404, 1
215406, 1
215408, 1
215410, 1
215412, 1
215414, 1
215416, 1
215418, 1
215420, 1
