Latitude,Longitude,Elevation,Time_since_190508,UV,Uncertainty
42.601666667,-73.841081667,54.8,267149,2,0
42.601668333,-73.841081667,54.8,267187,6,0
42.601668333,-73.841083333,54.9,267211,2,0
42.601515,-73.840661667,63.2,267239,3,0
42.601236667,-73.837925,178.6,267275,11,0
42.60069666,-73.835788333,366.9,267299,10,0
42.599966667,-73.834976667,579.4,267335,14,0
42.598931667,-73.833,848.2,267359,12,1
9999,9999,1316.1,267419,14,1
42.59458,-73.828905,1522.8,267455,20,0
42.580606667,-73.795961667,2768,267720,22,0
