UTC,Latitude,Longitude,Elevation,Time_since_190508,CO2,TVOC,Temperature,Uncertainty
2019-05-11T18:30:50.000Z,42.601668333,-73.841081667,54.8,264837,1184,119,25.89,0
  2019-05-11T18:31:22.000Z,42.601668333,-73.841083333,54.9,264847,649,37,24.26,0
  2019-05-11T18:31:52.000Z,42.601431667,-73.839903333,90.4,264847,649,37,24.26,0
  2019-05-11T18:32:22.000Z,42.6012016,9999,212.9,264923,502,15,25,1
  2019-05-11T18:32:52.000Z,42.600398333,-73.835575,433.6,264943,411,1,25,0
  2019-05-11T18:33:22.000Z,42.599613333,-73.834661667,647.1,264984,492,14,23.62,0
  2019-05-11T18:22:22.000Z,42,-73.826411667,1886.4,265161,425,3,19.17,1
  2019-05-11T18:26:_1.000Z,42.589471667,-73.82514,2013,265186,491,13,19.17,0
  2019-05-11T18:28:_1.000Z,42.582386667,-73.8067,2527.4,265307,400,0,23.91,1
  2019-05-11T18:39:__.000Z,9999,9999,2669.9,0,413,9999,9999,1
2019-05-11T18:33:50.000Z,42.5986,-73.833093322,901,0,426,3,22.12,1
