
Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1557542414.39266, -110.13630436422132, 179.03103133420348, -1.6810917200000002, -1.24632662, -0.91300671, -66.75421930653279, 106.92008815252208, 85.74462337545593, 276.1659257270729, -50.81034362839524, 80.41772175881171)
(1557542415.601575, -109.53538135493615, -151.5126613038379, -2.6616954, -1.9310585000000002, -1.44557595, -92.81515800757481, -48.413454273293894, 86.8021838519095, 258.2094709585989, -79.70943732562392, -32.07050271178002)
(1557542416.722345, -108.63412314840706, 179.6057699679746, -3.7006382700000002, -2.6405804600000002, -1.98616411, -102.72211424007416, 88.11427148746719, 85.67610722263188, 275.80591562472824, -94.47320513717926, 71.59270948130902)
(1557542417.842929, -108.80665023883596, 179.47914438592014, -4.70402842, -3.3404240100000004, -2.55952991, -106.77419189933124, 142.65325780653896, 86.88278819347055, 274.4740520598818, -102.08958693703487, 124.5885985325427)
(1557542418.963488, -108.44828364691865, 178.66778089965723, -5.72413828, -4.031738130000001, -3.12438413, -108.18669089188369, 163.98544601440994, 86.63894357910398, 275.0854678566622, -105.79243266044242, 151.16166048048)
(1557542420.083976, -108.966681856562, 150.17161801604408, -6.71805582, -4.722426590000001, -3.6718810800000004, -109.05225248669069, 155.42087383139042, 87.14888992406189, 289.5729161503903, -107.91406941098445, 150.5516429947102)
(1557542421.204406, -108.88818750294134, 179.08855388241622, -7.71210552, -5.446903490000001, -4.2447232800000005, -109.35143337644108, 169.3316911020059, 85.71428999613404, 276.0540343381675, -108.94922651507883, 164.57087045579385)
(1557542422.324829, -108.42169603659984, 179.2042772053469, -8.68942872, -6.171470690000001, -4.80078648, -109.18452025253633, 174.9654158840105, 87.08916217383225, 274.3270482614536, -109.22970830033759, 171.76528400601956)
(1557542423.445303, -108.78203083906638, 177.90315139907352, -9.70942847, -6.871139940000002, -5.374009480000001, -109.35102650445437, 176.44818949304832, 86.92451511901804, 275.2244920552813, -109.56598734518226, 174.7959990678239)
(1557542424.565987, -108.78122406864955, 179.0843927314086, -10.680129670000001, -7.613937380000002, -5.939548440000001, -109.39742552297147, 177.7327924600645, 88.34637103393835, 272.7060042359596, -109.70345660355895, 176.90842553367406)
(1557542425.686595, -108.91328929874766, 179.87037252448363, -11.675633130000001, -8.356346740000003, -6.530101340000002, -109.50514517243718, 178.71837675471596, 87.1994717166279, 273.9810526459837, -109.84285085350024, 178.3774514023076)
(1557542426.807188, -108.4750073794853, 178.40146365858766, -12.64470823, -9.064192900000004, -7.086266180000002, -109.27469253666605, 178.24509043303897, 86.88461954869312, 274.6692835620144, -109.67198343913373, 178.40974455692287)
(1557542427.92758, -108.79395782391109, -149.94685282913895, -13.622445550000002, -9.755352040000004, -7.642565000000002, -109.37734663701306, -18.946539180267777, 87.29115323766842, 257.44743462050474, -109.73798581537979, 14.242194531176267)
(1557542429.048137, -108.4215722569374, -149.41175269633217, -14.634301150000002, -10.463650960000004, -8.182221320000002, -109.20862424896767, -97.50898685790642, 87.29764482113491, 257.51876671334674, -109.5907371465185, -69.33403882787884)
(1557542430.16868, -105.88132963892316, 179.21338044327476, -15.646207150000002, -11.180417710000004, -8.705039420000002, -107.61700988294096, 68.23772682280227, 86.2490096769857, 275.0695378994006, -108.22934234233689, 52.77556295843824)
(1557542431.289399, -108.10299644825035, 179.18926553869625, -17.36006293, -12.440174950000005, -9.642533180000003, -108.5941441341266, 134.30474715633866, 87.37654599185797, 273.873016428615, -108.82584038244701, 124.63671686559618)
(1557542432.49864, -108.34213092723078, 179.20057664473717, -18.380562410000003, -13.131753110000005, -10.182301500000003, -108.8511360019891, 160.96561358537775, 87.10316635625985, 274.2270501395567, -109.01678579003637, 153.02313058257462)
(1557542433.619395, -108.43494974443655, -149.48799959853494, -18.992177260000002, -13.583816260000006, -10.549270410000004, -108.84607018745757, -25.487379584969844, 87.23051534271572, 257.6806305707627, -109.0424962019691, 14.485161129238094)
(1557542434.69506, -108.60853232685778, -149.6038964387011, -20.01884752, -14.290703980000007, -11.104682190000004, -109.11421557509769, -100.2400447852086, 86.70340564972024, 258.173135934832, -109.28361050190524, -68.5011255424539)
(1557542435.815616, -108.47482154036636, 179.0716781633664, -21.00170044, -14.993952190000007, -11.646945870000003, -109.12372032225889, 67.0656896999364, 86.61474591347813, 275.03240248431285, -109.29023298892547, 52.369165533425814)
(1557542436.936806, -112.56087919294659, 179.06736114471568, -22.005698680000002, -15.694219870000007, -12.203785230000003, -111.5876149406715, 133.98658549480396, 87.08067242384192, 275.0162038506219, -111.34869095875773, 114.9692585395348)
(1557542438.057427, -108.66047028851793, 178.95122491644162, -22.949815, -16.393877500000006, -12.734850660000003, -110.20897467737936, 160.68550609578656, 87.11055145642837, 274.56859463852805, -110.3888292194988, 147.09546466888838)
(1557542439.177849, -108.82198732811096, 179.21517615518692, -23.953246800000002, -17.102182300000006, -13.316672460000003, -109.77815498781831, 171.51998621142678, 87.10780454605356, 274.2947051748159, -109.9922364638686, 163.7103061829927)
(1557542440.298486, -109.03245070272291, 179.48499638777912, -24.948163800000003, -17.793565300000004, -13.890014460000003, -109.72869921676107, 176.02243911723818, 86.7138980209247, 274.83255871122685, -109.87570925983903, 172.361596196142)
(1557542441.418932, -108.51504630922177, 179.46826865272305, -25.975773460000003, -18.509522850000003, -14.471203530000004, -109.4115513362375, 177.8035538185291, 87.36025153203445, 273.88962150736324, -109.55513276645769, 176.75001568702694)
(1557542442.53933, -108.56850609927747, 179.46949944366634, -26.936509600000004, -19.183723650000005, -15.044274210000005, -109.29001865006148, 178.53344087361145, 87.21729554053144, 273.92441430458604, -109.36925317026673, 178.99122954372953)
(1557542443.659901, -108.6744569513293, -150.07147799374744, -27.940274600000006, -19.892263650000004, -15.617854210000004, -109.32218763082217, -18.912926446803866, 86.4407331787168, 258.7466476988957, -109.33499532712668, 12.6972468332892)
(1557542444.780499, -108.36809355540966, 179.06080981113138, -28.571463690000005, -20.327200670000003, -15.967925470000004, -109.00220682157466, 99.69734049995728, 87.16949919001573, 274.3589865272075, -109.10547757856646, 86.74778792223977)
(1557542445.856088, -108.38155201525508, 179.598401407166, -29.597339730000005, -21.058768010000005, -16.522907590000003, -109.04016435378291, 147.3453501082825, 86.21659413800435, 275.095300514296, -109.05721251078697, 131.7963012455082)
(1557542446.976478, -109.18073832432802, -150.6848626340318, -30.591769390000007, -21.783521830000005, -17.104396120000004, -109.52228060010998, -31.762679065106056, 87.85184378859005, 256.67180200860884, -109.39235811677905, -10.614136496713655)
(1557542448.097086, -108.14153816594342, -149.9207385991774, -32.209054990000006, -22.996486030000007, -18.047812720000003, -109.34074937961005, -103.14270046554887, 86.88369067397062, 258.718597875614, -109.05465885572077, -94.61120652073171)
(1557542449.289805, -108.74134136931106, -150.62357421389683, -33.247171300000005, -23.713883480000007, -18.604850740000003, -109.39635109743065, -131.91818369455763, 86.54984862829593, 258.8816554682533, -109.14316604231058, -128.29715739082985)
(1557542450.410426, -108.88924444973405, 179.60846394393036, -34.26358957000001, -24.405731210000006, -19.177119850000004, -109.4986544168127, 54.72106579653516, 87.10827478220769, 274.16280041831396, -109.24649383638987, 25.849876132564702)
(1557542451.532536, -108.51486012498003, -149.54604769887766, -34.88978017000001, -24.819653810000005, -19.516748650000004, -109.1588540817131, -68.00477134071252, 86.9966322704154, 257.82170295556296, -109.06267358621702, -55.484560626887756)
(1557542452.608321, -108.51486012498003, -150.4411422915163, -35.90080417000001, -25.552646210000006, -20.072811850000004, -109.17686730767326, -117.75979087119478, 87.19849491813957, 258.1971200305931, -109.01123200681029, -105.94656581994923)
(1557542453.728871, -108.36793716680585, 179.05860553382703, -36.89505211000001, -26.243564270000007, -20.628916630000006, -109.08920839915281, 60.0548797478183, 86.81761283191533, 274.66071473007736, -108.88096559628698, 34.436203560474056)
(1557542454.849311, -108.63551758329051, 179.86767818255015, -37.91497563000001, -26.951610350000006, -21.159951190000005, -109.22496331763543, 131.6593403766574, 86.69549234372643, 274.55405291687293, -108.95016374238246, 108.10467955751083)
(1557542455.969893, -108.31522342229754, 179.73226542387098, -38.91869898000001, -27.668555600000005, -21.725072740000005, -109.08060872043269, 160.21631730498555, 87.89750777585955, 273.0458428147816, -108.80331189275714, 146.06214096587698)
(1557542457.090483, -108.9269181269857, 179.87037252448363, -39.904774980000006, -28.368079600000005, -22.272892740000007, -109.3828247643645, 171.7289408366844, 87.10599452050619, 274.06250720350164, -109.02276210663742, 165.60102475995254)
(1557542458.210929, -108.50165027309428, 179.6011966717225, -40.54670781000001, -28.792498000000005, -22.623037920000005, -109.11089320160237, 176.28252697770728, 87.2693612034346, 273.8794344449158, -108.9019507437117, 173.87304578147427)
(1557542459.286613, -108.92577910340206, 179.87066513802654, -41.505816030000005, -29.499209320000006, -23.195137560000006, -109.38346803068218, 178.15272534589883, 87.16009635522879, 274.12771681856526, -109.04868357444145, 179.70031580053006)
(1557542460.407048, -108.89753537943449, 178.83875884666588, -42.550697070000005, -30.198605500000006, -23.742857460000007, -109.50986085593357, 178.28458697435906, 86.73748458782896, 274.9697101968243, -109.14249991550405, 182.06008018075389)
(1557542461.527578, -108.85994541756699, 179.2205144371057, -43.537043340000004, -30.906751540000005, -24.299257920000006, -109.51445010091362, 178.56288503600706, 86.46657523267245, 275.10890156771734, -109.13242570693347, 183.30166749901608)
