


Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1556931342.91674, -114.63188960234316, 106.10613187659675, -2.10402472, -1.55591744, -1.20229984, -69.6207436494059, 63.041312149958046, 126.97082115912822, 352.35205075556104, -58.657234180392216, 52.551875614660055)
(1556931344.173276, -113.90205137898654, 105.48736287827033, -3.23646512, -2.25280384, -1.75109788, -96.64250444715428, 88.23018802694543, 125.88582494520878, 352.8276640921982, -86.85055255377277, 78.67582402174264)
(1556931345.297834, -113.66773783809585, 105.31956850180568, -4.28992984, -3.00154736, -2.325715, -107.27903036971922, 98.18431890386157, 126.5095515824568, 353.00140887693465, -100.79566935243213, 91.63259119214763)
(1556931346.421212, -113.98501186800816, 105.61584300675709, -5.35913224, -3.7258457600000003, -2.886184, -111.73030022869258, 102.35351400559888, 125.7244141194268, 354.6379811254732, -107.94410226071253, 98.27929558936142)
(1556931347.544613, -113.5646621048614, 104.99423815590434, -6.401882410000001, -4.42388513, -3.43772128, -113.24801742239387, 103.65873274778215, 125.82493398461918, 354.20646585023553, -111.31675539785903, 101.32974048426182)
(1556931348.668279, -113.35556582261749, 105.07030824117267, -7.387380490000001, -5.15868633, -3.99098336, -113.70674569452805, 104.21175756381646, 125.31601590217703, 352.954327982352, -112.88101885342991, 102.89254734258571)
(1556931349.791648, -113.45384857371636, 105.13040405405906, -8.422294090000001, -5.84000445, -4.54293728, -113.96897286204103, 104.49041820996202, 125.76081037904217, 352.686434137547, -113.73856756607323, 103.74045331199629)
(1556931350.914998, -114.10765829758782, 105.36213361300318, -9.464807100000002, -6.54650087, -5.14604398, -114.4691893273691, 104.7308488837867, 126.0221797865398, 355.6623677732506, -114.49612902604713, 104.27529739003845)
(1556931352.03852, -113.52240387662938, 105.20343894894067, -10.501325100000003, -7.25478817, -5.71612888, -114.31572525692528, 104.73108800287909, 125.8440694142451, 353.29494784110756, -114.57393586905107, 104.46991923857458)
(1556931353.162216, -113.53457529607016, 105.09583275572427, -11.520551280000003, -7.9717015, -6.251654500000001, -114.25472575241221, 104.6631695225862, 124.70829576959505, 354.13122292231026, -114.60126384023373, 104.51455859848073)
(1556931354.285656, -113.18887868034966, 105.04132960100664, -12.582586170000003, -8.71426248, -6.804258020000001, -114.04003146517468, 104.59304117763847, 126.6442693580121, 353.24148833613896, -114.45221772239773, 104.5019340714313)
(1556931355.409246, -112.93210139732254, 104.65166725574552, -13.800112410000002, -9.50958204, -7.471933700000001, -113.8622839204634, 104.3100890005027, 126.09587115766328, 352.79188196932597, -114.2694305226523, 104.30400544966345)
(1556931356.549496, -114.2957773419797, 105.63659927472133, -14.833740810000002, -10.24173549, -8.005975040000001, -114.53583133337318, 104.81313378503388, 126.52672762710523, 353.1195370322307, -114.79939704316186, 104.72027329738054)
(1556931357.672994, -113.08061817633869, 104.86828148485355, -15.895086900000003, -10.93204189, -8.558220160000001, -114.08724187515249, 104.57009984492569, 125.7244141194268, 353.01703411965156, -114.45614556040731, 104.56379244102921)
(1556931358.796658, -113.94725575571047, 105.36680637154774, -16.9160229, -11.61554989, -9.120600160000002, -114.41162460348728, 104.77472056089891, 125.90774729451303, 353.19824730425904, -114.68817789629556, 104.74664278621353)
(1556931359.92033, -113.10911349528985, 104.80125756772021, -18.712085700000003, -12.81292509, -10.063533130000001, -114.34854305856882, 104.3116926849917, 125.91163465891584, 354.86518372434415, -114.47506690090431, 104.4586352722126)
(1556931361.134126, -113.15940148175733, 104.925122103165, -19.762428840000002, -13.50167469, -10.605923440000002, -114.05519536848192, 104.40425049589568, 126.73032233238334, 354.39979872148905, -114.23392154913577, 104.50007942992877)
(1556931362.257765, -113.12007726648294, 104.90303588734969, -20.807211810000002, -14.24424771, -11.184439630000002, -113.91203769528254, 104.40649252276809, 126.07437137088236, 352.70818731215047, -114.10446112068497, 104.47878157310998)
(1556931363.381678, -113.4241256419526, 105.14321315468337, -21.872587380000002, -14.93717491, -11.747442980000002, -114.04544069128457, 104.57135402191726, 126.4813635611974, 353.89475927256836, -114.19369296024126, 104.62130563580766)
(1556931364.505126, -113.37591622584905, 104.99761144293333, -22.91576952, -15.63550345, -12.290587400000003, -114.06099886802326, 104.5477770585269, 124.30848681240627, 353.53111332742964, -114.18946537787946, 104.62224171089913)
(1556931365.628765, -113.17891572779273, 104.96624948709841, -24.31554272, -16.61181585, -13.078695000000003, -114.09165826388494, 104.40833555566981, 127.09982680337635, 353.8111373330524, -114.11558015419288, 104.57276108805657)
(1556931366.796934, -113.45641082931236, 104.9503340863814, -25.36976302, -17.3290313, -13.614446300000003, -114.13219792314139, 104.44664849409676, 124.67317586468124, 355.8565788205597, -114.14484365364682, 104.58990892652042)
(1556931367.920439, -112.90284850684971, 104.72609093181335, -26.40471862, -18.03625096, -14.149173360000002, -113.80857051336638, 104.3314260927267, 124.56637923005555, 352.75122050157006, -113.86086590131139, 104.48971122230303)
(1556931369.044028, -114.51844643258758, 105.7101102183389, -27.44020342, -18.7352032, -14.727319040000003, -114.64868998489911, 104.87905567209403, 126.1890192216937, 354.1553166020044, -114.53297338719202, 104.9541651131136)
(1556931370.167149, -113.06152049312614, 104.96624948709841, -28.49116144, -19.44158482, -15.278641280000002, -114.11677149783532, 104.64881931309665, 125.61085243866874, 352.9496527010204, -114.12153139254579, 104.81197428423434)
(1556931371.290791, -114.11485171662348, 105.51359428225197, -29.52759544, -20.14981472, -15.831406080000002, -114.5301932291082, 104.88439233458985, 126.33351528159139, 354.6328069798882, -114.42844095617725, 105.0267955585475)
(1556931372.414223, -113.66773783809585, 105.30663607941977, -30.60507044, -20.86525812, -16.40031288, -114.4437099945008, 104.8515612214878, 125.49609282358102, 352.4337604158504, -114.36143988924846, 105.0328550918675)
(1556931373.537746, -113.82603557813776, 105.34089089437666, -31.666459579999998, -21.6073676, -16.97846794, -114.49766100068297, 104.84831523322111, 125.8440694142451, 353.1106963187346, -114.38485576798993, 105.04744134503817)
(1556931374.661255, -114.35731281623313, 105.71602524715462, -33.47383053, -22.81726055, -17.934432740000002, -115.13640047001306, 104.88498406158122, 125.71027967550117, 354.0487794112718, -114.76903032798226, 105.2762593081325)
(1556931375.874849, -113.0498231237994, 104.80125756772021, -34.88444939, -23.80113757, -18.669377020000002, -114.44870160628486, 104.44119735726463, 125.79298286736739, 354.06251005057396, -114.08671219971694, 104.87031068010188)
(1556931377.044444, -113.0498231237994, 104.7136356832134, -35.92000979, -24.517400180000003, -19.256194580000003, -114.02359867679357, 104.3181553088339, 125.84074284153805, 355.6306599758461, -113.75421759597359, 104.67830261939434)
(1556931378.167683, -113.17891572779273, 104.90303588734969, -36.96210777, -25.206390580000004, -19.8073869, -113.93362809939306, 104.39348749594338, 124.63781807706998, 353.969069035352, -113.65993913162264, 104.69769142848149)
(1556931379.291176, -112.33113734733881, 104.23657766592126, -37.98117701, -25.914557340000005, -20.36010242, -113.37976134416051, 104.0160748939301, 124.20657642103681, 354.03200775268317, -113.15111423870442, 104.35841159323594)
(1556931380.414662, -113.16928417385382, 105.02297933762759, -39.050492250000005, -26.578567610000004, -20.92925408, -113.6812011379765, 104.35461345214858, 126.11195375538786, 354.84614776731706, -113.3404896896207, 104.61885623899838)
(1556931381.538358, -113.07167991969972, 104.98830850654441, -40.13065350000001, -27.295794680000004, -21.49093793, -113.74755290701043, 104.44793965678608, 126.39902197618541, 353.4667982770805, -113.38086638872147, 104.71353224519004)
(1556931382.662146, -114.11997794696869, 105.7101102183389, -40.80036884000001, -27.756910160000004, -21.84226401, -114.23889406698538, 105.02079580171777, 126.66820350458065, 353.1739539559707, -113.83556760648021, 105.11190237043152)
(1556931383.73998, -113.56103216346054, 105.13545006444693, -41.88378236000001, -28.479185840000003, -22.40976633, -114.26554233287048, 104.80067808735527, 125.79298286736739, 353.9430924463997, -113.88416616679291, 105.04560523301171)
(1556931384.863424, -113.16899145417018, 104.8557168965591, -42.909855100000016, -29.194850020000004, -22.96160377, -114.01804090165031, 104.54743570087757, 126.59277390837241, 353.2686301183839, -113.66242034070957, 104.878176725109)
(1556931385.98699, -113.95489506241209, 105.4010184963766, -44.01564454000002, -29.903246380000006, -23.48858155, -114.42246917410739, 104.77622683417698, 125.99089254078912, 353.87660454634494, -113.98127050534713, 105.0815379739206)
(1556931387.110474, -113.09076378771796, 104.89045574469604, -45.05927559000002, -30.593250380000008, -24.066459899999998, -114.04089836227374, 104.56876258048842, 125.79685964644035, 353.4509005630356, -113.6590316299825, 104.93436694511767)
(1556931388.233694, -114.21763645819449, 105.6516083396742, -46.17030873000002, -31.299488500000006, -24.60044482, -114.5913544758262, 104.9359747879999, 125.27523116708933, 353.8123054302584, -114.10163881826539, 105.24680160040009)
