Chip ID     : 96
Version     : 0
Time, Temperature (C), Pressure (hPa), Humidity (%):
1557178570.61 , 23.71 , 1016.16901509 , 30.4900580661
1557178572.72 , 23.71 , 1016.17319933 , 30.5055297463
1557178574.81 , 23.71 , 1016.17738357 , 30.5675123929
1557178576.88 , 23.72 , 1016.15443222 , 30.4589538256
1557178578.99 , 23.71 , 1016.15024809 , 30.464154067
1557178581.12 , 23.72 , 1016.19513562 , 30.5778164893
1557178583.25 , 23.7 , 1016.15646243 , 30.5625027834
1557178585.36 , 23.71 , 1016.16901509 , 30.4693864192
1557178587.46 , 23.7 , 1016.13452667 , 30.4953860851
1557178589.54 , 23.7 , 1016.13871082 , 30.4798507181
1557178591.61 , 23.71 , 1016.12412815 , 30.5314328103
1557178593.72 , 23.71 , 1016.13769572 , 30.5417684037
1557178595.82 , 23.72 , 1016.12628082 , 30.6087292856
1557178597.93 , 23.73 , 1016.14821688 , 30.5053058674
1557189377.68 , 23.73 , 1016.14821688 , 30.4949696343
1557189379.79 , 23.73 , 1016.13464882 , 30.5983305661
1557189381.9 , 23.73 , 1016.10231237 , 30.7429693712
1557189384.0 , 23.74 , 1016.16913728 , 30.92891675
1557189386.11 , 23.74 , 1016.16495318 , 31.0426314093
1557189388.22 , 23.75 , 1016.1816896 , 30.8926538472
1557189390.32 , 23.75 , 1016.12741561 , 30.8203044252
1557189392.43 , 23.74 , 1016.17332138 , 30.8307004488
1557189394.54 , 23.75 , 1016.16393703 , 30.6549597462
1557189396.64 , 23.75 , 1016.12323172 , 30.5722693153
1557189398.75 , 23.75 , 1016.1409841 , 30.6290878999
1557189400.86 , 23.74 , 1016.16495318 , 30.5413552822
1557189402.96 , 23.73 , 1016.18372137 , 30.4122136006
1557189405.07 , 23.73 , 1016.15240094 , 30.3915729505
1557189407.18 , 23.74 , 1016.1607691 , 30.412181073
1557189409.28 , 23.74 , 1016.19627397 , 30.4482945942
1557189411.41 , 23.73 , 1016.17535301 , 30.48463337
1557189413.51 , 23.72 , 1016.16698467 , 30.4330163848
1557189415.62 , 23.7 , 1016.13351161 , 30.4746186362
1557189417.69 , 23.7 , 1016.13871082 , 30.4385081192
1557189419.8 , 23.68 , 1016.12717313 , 30.4800433379
1557189421.87 , 23.68 , 1016.13655599 , 30.5265834039
1557189423.94 , 23.69 , 1016.13972564 , 30.4799470385
1557189426.02 , 23.69 , 1016.21276017 , 30.4593405931
1557189428.09 , 23.67 , 1016.12920177 , 30.4905707377
1557189430.18 , 23.68 , 1016.10105377 , 30.4853071407
1557189432.26 , 23.7 , 1016.22011534 , 30.5521990688
1557189434.41 , 23.67 , 1016.15113711 , 30.6455276856
1557189436.49 , 23.67 , 1016.133386 , 30.5060410396
1557189438.56 , 23.68 , 1016.19082413 , 30.5007457201
1557189440.67 , 23.69 , 1016.21276017 , 30.4645082666
1557189442.77 , 23.68 , 1016.18144147 , 30.5317191171
1557189444.88 , 23.68 , 1016.21377369 , 30.5317827151
1557189446.99 , 23.67 , 1016.24610531 , 30.5111765574
1557189449.09 , 23.68 , 1016.21795823 , 30.5627558346
1557189451.23 , 23.66 , 1016.15215093 , 30.5216069886
1557189453.34 , 23.66 , 1016.14378227 , 30.5785103821
1557189455.42 , 23.65 , 1016.17611311 , 30.6044090332
1557189457.49 , 23.65 , 1016.15836219 , 30.5424349198
1557189459.57 , 23.65 , 1016.1635597 , 30.5683337995
1557189461.67 , 23.65 , 1016.17611311 , 30.5682391024
1557189463.74 , 23.67 , 1016.21478693 , 30.4853712556
1557189465.85 , 23.63 , 1016.17915109 , 30.5323546768
1557189467.92 , 23.64 , 1016.17395415 , 30.5581261065
1557189470.0 , 23.64 , 1016.13224271 , 30.5476971294
1557189472.1 , 23.65 , 1016.18549507 , 30.5372677463
1557189474.23 , 23.63 , 1016.15620355 , 30.547823822
1557189476.3 , 23.65 , 1016.18549507 , 30.5631035358
1557189478.38 , 23.65 , 1016.14999338 , 30.5424983437
1557189480.45 , 23.65 , 1016.1896796 , 30.5269015721
1557189482.52 , 23.65 , 1016.18131055 , 30.5062964619
1557189484.6 , 23.63 , 1016.16976961 , 30.4393160457
1557189486.67 , 23.64 , 1016.20007409 , 30.4908588526
1557189488.75 , 23.65 , 1016.17712603 , 30.4546563404
1557189490.82 , 23.64 , 1016.20007409 , 30.4650229613
1557189492.89 , 23.65 , 1016.16254661 , 30.501065363
1557189494.97 , 23.65 , 1016.18549507 , 30.4700937839
1557189497.04 , 23.66 , 1016.2064178 , 30.3717506232
1557189499.14 , 23.65 , 1016.17192863 , 30.4545919137
1557189501.21 , 23.64 , 1016.17294152 , 30.3771794769
1557189503.28 , 23.65 , 1016.10929443 , 30.4598235793
1557189505.36 , 23.65 , 1016.17712603 , 30.4443218394
1557189507.43 , 23.64 , 1016.14580898 , 30.4546885503
1557189509.51 , 23.65 , 1016.20324611 , 30.4597270241
1557189511.6 , 23.64 , 1016.16875702 , 30.4805565795
1557189513.69 , 23.66 , 1016.19386414 , 30.5062006961
1557189515.77 , 23.62 , 1016.13978757 , 30.6564499601
1557189517.85 , 23.62 , 1016.1627347 , 30.7339798278
1557189519.92 , 23.62 , 1016.19924737 , 30.7805086143
1557189521.99 , 23.63 , 1016.15753792 , 30.6925856697
1557189524.07 , 23.64 , 1016.22302195 , 30.6717356187
1557189526.16 , 23.62 , 1016.18986629 , 30.6203142802
1557189528.24 , 23.64 , 1016.21465252 , 30.5684600295
1557189530.34 , 23.63 , 1016.16558508 , 30.5891906473
1557189532.45 , 23.63 , 1016.1927171 , 30.449682495
1557189534.56 , 23.63 , 1016.19690174 , 30.5219889481
1557189536.66 , 23.63 , 1016.20628312 , 30.5168537943
1557189538.77 , 23.63 , 1016.2389334 , 30.6254185438
1557189540.84 , 23.63 , 1016.22403389 , 30.5736585015
1557189542.95 , 23.64 , 1016.24596962 , 30.5012570366
1557189545.09 , 23.63 , 1016.1927171 , 30.6098580397
1557189547.19 , 23.62 , 1016.21281312 , 30.5841786299
1557189549.27 , 23.63 , 1016.22536747 , 30.532415739
1557189551.35 , 23.63 , 1016.1927171 , 30.6305253078
1557189553.45 , 23.64 , 1016.25015445 , 30.5632299025
1557189555.56 , 23.63 , 1016.20628312 , 30.6770262061
1557189557.64 , 23.65 , 1016.25852414 , 30.6045031109
1557189559.75 , 23.64 , 1016.2417848 , 30.6304629146
1557189561.85 , 23.65 , 1016.27627541 , 30.5579680182
1557189563.98 , 23.63 , 1016.22536747 , 30.5840842748
1557189566.09 , 23.63 , 1016.23341517 , 30.4858518194
1557189568.2 , 23.62 , 1016.19506265 , 30.5222091563
1557189570.27 , 23.63 , 1016.19823564 , 30.5789174562
1557189572.34 , 23.63 , 1016.25249933 , 30.5220819386
1557189574.45 , 23.63 , 1016.2469812 , 30.6046912033
1557189576.56 , 23.64 , 1016.27728697 , 30.5890649078
1557189578.66 , 23.64 , 1016.30961557 , 30.5374581671
1557189580.8 , 23.63 , 1016.20242032 , 30.4497122416
1557189582.91 , 23.63 , 1016.21984914 , 30.4238470301
1557189585.02 , 23.63 , 1016.1927171 , 30.5581893254
1557189587.12 , 23.63 , 1016.23759998 , 30.5684915812
1557189589.23 , 23.61 , 1016.20025883 , 30.4241034584
1557189591.34 , 23.6 , 1016.16995451 , 30.4603999964
1557189593.41 , 23.6 , 1016.2200311 , 30.4449320694
1557189595.49 , 23.61 , 1016.2587062 , 30.6049081284
1557189597.61 , 23.6 , 1016.26909722 , 30.6618646417
