267144,, 15.00  ;;--;;  267144,, 15.00  ;;--;;  267144,, 15.000000
267145,, 14.75  ;;--;;  267145,, 14.75  ;;--;;  267145,, 14.750000
267146,, 16.50  ;;--;;  267146,, 16.50  ;;--;;  267146,, 16.500000
267148,, 15.00  ;;--;;  267148,, 15.00  ;;--;;  267148,, 15.000000
267149,, 14.50  ;;--;;  267149,, 14.50  ;;--;;  267149,, 14.500000
267151,, 14.00  ;;--;;  267151,, 14.00  ;;--;;  267151,, 14.000000
267152,, 15.25  ;;--;;  267152,, 15.25  ;;--;;  267152,, 15.250000
267154,, 15.00  ;;--;;  267154,, 15.00  ;;--;;  267154,, 15.000000
267155,, 14.75  ;;--;;  267155,, 14.75  ;;--;;  267155,, 14.750000
267157,, 14.25  ;;--;;  267157,, 14.25  ;;--;;  267157,, 14.250000
267158,, 12.50  ;;--;;  267158,, 12.50  ;;--;;  267158,, 12.500000
267160,, -18.50  ;;--;;  267160,, -18.50  ;;--;;  267160,, -18.500000
267161,, -19.75  ;;--;;  267161,, -19.75  ;;--;;  267161,, -19.750000
267163,, -12.00  ;;--;;  267163,, -12.00  ;;--;;  267163,, -12.000000
267164,, 11.00  ;;--;;  267164,, 11.00  ;;--;;  267164,, 11.000000
267166,, 10.75  ;;--;;  267166,, 10.75  ;;--;;  267166,, 10.750000
267167,, 7.75  ;;--;;  267167,, 7.75  ;;--;;  267167,, 7.750000
267168,, 8.25  ;;--;;  267168,, 8.25  ;;--;;  267168,, 8.250000
267169,, 6.25  ;;--;;  267169,, 6.25  ;;--;;  267169,, 6.250000
267171,, 11.50  ;;--;;  267171,, 11.50  ;;--;;  267171,, 11.500000
267172,, 13.75  ;;--;;  267172,, 13.75  ;;--;;  267172,, 13.750000
267174,, 14.25  ;;--;;  267174,, 14.25  ;;--;;  267174,, 14.250000
267175,, 18.50  ;;--;;  267175,, 18.50  ;;--;;  267175,, 18.500000
267177,, 19.00  ;;--;;  267177,, 19.00  ;;--;;  267177,, 19.000000
267178,, 19.00  ;;--;;  267178,, 19.00  ;;--;;  267178,, 19.000000
267180,, 16.00  ;;--;;  267180,, 16.00  ;;--;;  267180,, 16.000000
