239763,, 22.87,, 1009.54,, 43  ;;--;;  239763,, 22.87,, 1009.54,, 43
239765,, 22.87,, 1009.51,, 43  ;;--;;  239765,, 22.87,, 1009.51,, 43
239767,, 22.88,, 1009.51,, 43  ;;--;;  239767,, 22.88,, 1009.51,, 43
239769,, 22.87,, 1009.55,, 43  ;;--;;  239769,, 22.87,, 1009.55,, 43
239771,, 22.88,, 1009.54,, 43  ;;--;;  239771,, 22.88,, 1009.54,, 43
239773,, 22.87,, 1009.55,, 43  ;;--;;  239773,, 22.87,, 1009.55,, 43
239775,, 22.86,, 1009.57,, 43  ;;--;;  239775,, 22.86,, 1009.57,, 43
239778,, 22.87,, 1009.52,, 43  ;;--;;  239778,, 22.87,, 1009.52,, 43
239780,, 22.87,, 1009.56,, 43  ;;--;;  239780,, 22.87,, 1009.56,, 43
239782,, 22.88,, 1009.54,, 43  ;;--;;  239782,, 22.88,, 1009.54,, 43
239784,, 22.87,, 1009.52,, 43  ;;--;;  239784,, 22.87,, 1009.52,, 43
239786,, 22.87,, 1009.53,, 43  ;;--;;  239786,, 22.87,, 1009.53,, 43
239788,, 22.87,, 1009.51,, 43  ;;--;;  239788,, 22.87,, 1009.51,, 43
239790,, 22.88,, 1009.53,, 43  ;;--;;  239790,, 22.88,, 1009.53,, 43
239792,, 22.87,, 1009.55,, 43  ;;--;;  239792,, 22.87,, 1009.55,, 43
239794,, 22.87,, 1009.50,, 43  ;;--;;  239794,, 22.87,, 1009.50,, 43
239797,, 22.86,, 1009.52,, 43  ;;--;;  239797,, 22.86,, 1009.52,, 43
239799,, 22.84,, 1009.52,, 43  ;;--;;  239799,, 22.84,, 1009.52,, 43
239801,, 22.86,, 1009.53,, 43  ;;--;;  239801,, 22.86,, 1009.53,, 43
239803,, 22.86,, 1009.53,, 43  ;;--;;  239803,, 22.86,, 1009.53,, 43
239805,, 22.86,, 1009.56,, 43  ;;--;;  239805,, 22.86,, 1009.56,, 43
239807,, 22.86,, 1009.55,, 43  ;;--;;  239807,, 22.86,, 1009.55,, 43
239809,, 22.87,, 1009.59,, 43  ;;--;;  239809,, 22.87,, 1009.59,, 43
239811,, 22.86,, 1009.53,, 43  ;;--;;  239811,, 22.86,, 1009.53,, 43
239813,, 22.86,, 1009.56,, 43  ;;--;;  239813,, 22.86,, 1009.56,, 43
239815,, 22.86,, 1009.52,, 43  ;;--;;  239815,, 22.86,, 1009.52,, 43
239818,, 22.85,, 1009.47,, 43  ;;--;;  239818,, 22.85,, 1009.47,, 43
239820,, 22.84,, 1009.49,, 43  ;;--;;  239820,, 22.84,, 1009.49,, 43
239822,, 22.85,, 1009.50,, 43  ;;--;;  239822,, 22.85,, 1009.50,, 43
239824,, 22.84,, 1009.48,, 43  ;;--;;  239824,, 22.84,, 1009.48,, 43
239826,, 22.84,, 1009.51,, 43  ;;--;;  239826,, 22.84,, 1009.51,, 43
239828,, 22.85,, 1009.50,, 43  ;;--;;  239828,, 22.85,, 1009.50,, 43
239830,, 22.85,, 1009.53,, 43  ;;--;;  239830,, 22.85,, 1009.53,, 43
239832,, 22.86,, 1009.48,, 43  ;;--;;  239832,, 22.86,, 1009.48,, 43
239835,, 22.85,, 1009.49,, 43  ;;--;;  239835,, 22.85,, 1009.49,, 43
239837,, 22.85,, 1009.49,, 43  ;;--;;  239837,, 22.85,, 1009.49,, 43
239839,, 22.85,, 1009.49,, 43  ;;--;;  239839,, 22.85,, 1009.49,, 43
239841,, 22.84,, 1009.46,, 43  ;;--;;  239841,, 22.84,, 1009.46,, 43
239843,, 22.85,, 1009.50,, 43  ;;--;;  239843,, 22.85,, 1009.50,, 43
239845,, 22.85,, 1009.49,, 43  ;;--;;  239845,, 22.85,, 1009.49,, 43
239848,, 22.86,, 1009.47,, 43  ;;--;;  239848,, 22.86,, 1009.47,, 43
239850,, 22.85,, 1009.47,, 43  ;;--;;  239850,, 22.85,, 1009.47,, 43
239852,, 22.86,, 1009.48,, 43  ;;--;;  239852,, 22.86,, 1009.48,, 43
239854,, 22.86,, 1009.53,, 43  ;;--;;  239854,, 22.86,, 1009.53,, 43
239856,, 22.84,, 1009.46,, 43  ;;--;;  239856,, 22.84,, 1009.46,, 43
239858,, 22.84,, 1009.52,, 43  ;;--;;  239858,, 22.84,, 1009.52,, 43
239860,, 22.85,, 1009.46,, 43  ;;--;;  239860,, 22.85,, 1009.46,, 43
239862,, 22.85,, 1009.47,, 43  ;;--;;  239862,, 22.85,, 1009.47,, 43
239864,, 22.84,, 1009.46,, 43  ;;--;;  239864,, 22.84,, 1009.46,, 43
239867,, 22.85,, 1009.49,, 43  ;;--;;  239867,, 22.85,, 1009.49,, 43
239869,, 22.85,, 1009.47,, 43  ;;--;;  239869,, 22.85,, 1009.47,, 43
239871,, 22.85,, 1009.47,, 43  ;;--;;  239871,, 22.85,, 1009.47,, 43
239873,, 22.84,, 1009.51,, 43  ;;--;;  239873,, 22.84,, 1009.51,, 43
239875,, 22.85,, 1009.51,, 43  ;;--;;  239875,, 22.85,, 1009.51,, 43
