---------------------------------------------------------------------------------------------------------
time , latd , long , t_utc , time , altd , eps , epx , epv , ept , speed , climb , track , mode , satlt
date
1556928369.78, 42.295188333, -71.302618333, 2019-05-04T00:06:09.000Z, 2019-05-04T00:06:09.000Z, 56.4, 62.38, 7.086, 5.692, 0.005, 0.123, 0.0, 242.19, 3, 10
1556928370.78, 42.295188333, -71.30262, 2019-05-04T00:06:10.000Z, 2019-05-04T00:06:10.000Z, 56.4, 62.38, 7.086, 5.692, 0.005, 0.17, 0.0, 256.99, 3, 10
1556928371.79, 42.295188333, -71.302621667, 2019-05-04T00:06:11.000Z, 2019-05-04T00:06:11.000Z, 56.4, 62.38, 7.086, 5.692, 0.005, 0.252, 0.0, 272.9, 3, 10
1556928372.79, 42.295188333, -71.302625, 2019-05-04T00:06:12.000Z, 2019-05-04T00:06:12.000Z, 56.4, 62.38, 7.086, 5.692, 0.005, 0.355, 0.0, 275.55, 3, 10
1556928373.79, 42.295185, -71.302643333, 2019-05-04T00:06:13.000Z, 2019-05-04T00:06:13.000Z, 56.4, 62.38, 7.086, 5.692, 0.005, 0.448, 0.0, 270.78, 3, 10
1556928374.79, 42.29518, -71.302648333, 2019-05-04T00:06:14.000Z, 2019-05-04T00:06:14.000Z, 56.5, 62.38, 7.086, 5.692, 0.005, 0.34, 0.1, 253.03, 3, 10
1556928375.79, 42.295176667, -71.302651667, 2019-05-04T00:06:15.000Z, 2019-05-04T00:06:15.000Z, 56.6, 62.38, 7.086, 5.692, 0.005, 0.262, 0.1, 234.92, 3, 10
1556928376.8, 42.295175, -71.302655, 2019-05-04T00:06:16.000Z, 2019-05-04T00:06:16.000Z, 56.6, 62.38, 7.086, 5.692, 0.005, 0.221, 0.0, 237.19, 3, 10
1556928377.8, 42.295171667, -71.30266, 2019-05-04T00:06:17.000Z, 1556928377.0, 56.7, 62.38, 7.086, 5.692, 0.005, 0.554, 0.1, nan, 3, 10
1556928378.8, 42.295168333, -71.30266, 2019-05-04T00:06:18.000Z, 2019-05-04T00:06:18.000Z, 56.6, 62.38, 7.086, 5.692, 0.005, 0.278, -0.1, 222.44, 3, 10
1556928379.8, 42.295166667, -71.302661667, 2019-05-04T00:06:19.000Z, 2019-05-04T00:06:19.000Z, 56.6, 62.38, 7.086, 5.692, 0.005, 0.345, 0.0, 234.17, 3, 10
