     Time    , ADC Output
1556892674.78, 1
1556892676.78, 1
1556892678.79, 1
1556892680.79, 1
1556892682.79, 1
1556892684.79, 1
1556892686.8, 1
1556892688.8, 1
1556892690.8, 1
1556892692.81, 1
1556892694.81, 1
1556892696.81, 1
1556892698.81, 1
1556892700.82, 1
1556892702.82, 1
1556892704.82, 1
1556892706.83, 1
1556892708.83, 1
1556892710.83, 1
1556892712.83, 1
1556892714.84, 1
1556892716.84, 1
1556892718.84, 1
1556892720.84, 1
1556892722.85, 1
1556892724.85, 1
1556892726.85, 1
1556892728.86, 1
1556892730.86, 1
1556892732.86, 1
1556892734.86, 1
1556892736.87, 1
1556892738.87, 1
1556892740.87, 1
1556892742.88, 1
1556892744.88, 1
1556892746.88, 1
1556892748.88, 1
1556892750.89, 1
1556892752.89, 1
1556892754.89, 1
1556892756.9, 1
1556892758.9, 1
1556892760.9, 1
1556892762.9, 1
1556892764.91, 1
1556892766.91, 1
1556892768.91, 1
1556892770.92, 1
1556892772.92, 1
1556892774.92, 1
1556892776.92, 1
1556892778.93, 1
1556892780.93, 1
1556892782.93, 1
1556892784.94, 1
1556892786.94, 1
1556892788.94, 1
1556892790.94, 1
1556892792.95, 1
1556892794.95, 1
1556892796.95, 1
1556892798.96, 1
1556892800.96, 1
1556892802.96, 1
1556892804.96, 1
1556892806.97, 1
1556892808.97, 1
1556892810.97, 1
1556892812.97, 1
1556892814.98, 1
1556892816.98, 1
1556892818.98, 1
1556892820.99, 1
1556892822.99, 1
1556892824.99, 1
1556892826.99, 1
1556892829.0, 1
1556892831.0, 1
1556892833.0, 1
1556892835.0, 1
1556892837.01, 1
1556892839.01, 1
1556892841.01, 1
1556892843.02, 1
1556892845.02, 1
1556892847.02, 1
1556892849.02, 1
1556892851.03, 1
1556892853.03, 1
1556892855.03, 1
1556892857.04, 1
1556892859.04, 1
1556892861.04, 1
1556892863.04, 1
1556892865.05, 1
1556892867.05, 1
1556892869.05, 1
1556892871.06, 1
1556892873.06, 1
1556892875.06, 1
1556892877.06, 1
1556892879.07, 1
1556892881.07, 1
1556892883.07, 1
1556892885.08, 1
1556892887.08, 1
1556892889.08, 1
1556892891.08, 1
1556892893.09, 1
1556892895.09, 1
1556892897.09, 1
1556892899.1, 1
1556892901.1, 1
1556892903.1, 1
1556892905.1, 1
1556892907.11, 1
1556892909.11, 1
1556892911.11, 1
1556892913.12, 1
1556892915.12, 1
1556892917.12, 1
1556892919.12, 1
1556892921.13, 1
1556892923.13, 1
1556892925.13, 1
1556892927.13, 1
1556892929.14, 1
1556892931.14, 1
1556892933.14, 1
1556892935.15, 1
1556892937.15, 1
1556892939.15, 1
1556892941.15, 1
1556892943.16, 1
1556892945.16, 1
1556892947.16, 1
1556892949.17, 1
1556892951.17, 1
1556892953.17, 1
1556892955.17, 1
1556892957.18, 1
1556892959.18, 1
1556892961.18, 1
1556892963.19, 1
1556892965.19, 1
1556892967.19, 1
1556892969.19, 1
1556892971.2, 1
1556892973.2, 1
1556892975.2, 1
1556892977.2, 1
1556892979.21, 1
1556892981.21, 1
1556892983.21, 1
1556892985.21, 1
1556892987.22, 1
1556892989.22, 1
1556892991.22, 1
1556892993.23, 1
1556892995.23, 1
1556892997.23, 1
1556892999.23, 1
1556893001.24, 1
1556893003.24, 1
1556893005.24, 1
1556893007.25, 1
1556893009.25, 1
1556893011.25, 1
1556893013.25, 1
1556893015.26, 1
1556893017.26, 1
1556893019.26, 1
1556893021.27, 1
1556893023.27, 1
1556893025.27, 1
1556893027.27, 1
1556893029.28, 1
1556893031.28, 1
1556893033.28, 1
1556893035.28, 1
1556893037.29, 1
1556893039.29, 1
1556893041.29, 1
1556893043.3, 1
1556893045.3, 1
1556893047.3, 1
1556893049.3, 1
1556893051.31, 1
1556893053.31, 1
1556893055.31, 1
1556893057.32, 1
1556893059.32, 1
1556893061.32, 1
1556893063.32, 1
1556893065.33, 1
1556893067.33, 1
1556893069.33, 1
1556893071.34, 1
1556893073.34, 1
1556893075.34, 1
1556893077.34, 1
1556893079.35, 1
1556893081.35, 1
1556893083.35, 1
1556893085.35, 1
1556893087.36, 1
1556893089.36, 1
1556893091.36, 1
1556893093.37, 1
1556893095.37, 1
1556893097.37, 1
1556893099.37, 1
1556893101.38, 1
1556893103.38, 1
1556893105.38, 1
1556893107.39, 1
1556893109.39, 1
1556893111.39, 1
1556893113.39, 1
1556893115.4, 1
1556893117.4, 1
1556893119.4, 1
1556893121.41, 1
1556893123.41, 1
1556893125.41, 1
1556893127.41, 1
1556893129.42, 1
1556893131.42, 1
1556893133.42, 1
1556893135.43, 1
1556893137.43, 1
