Time, CO2 (ppm), TVOC, Temp (C)
1557241126.37 , 409 , 1 , 25.0
1557241131.42 , 400 , 0 , 25.0
1557241136.47 , 400 , 0 , 25.0
1557241141.51 , 400 , 0 , 25.0
1557241146.56 , 400 , 0 , 25.0
1557241151.61 , 400 , 0 , 25.0
1557241156.66 , 400 , 0 , 25.0
1557241161.7 , 400 , 0 , 25.0
1557241166.75 , 400 , 0 , 25.0
1557241171.8 , 406 , 0 , 25.0
1557241176.85 , 409 , 1 , 25.0
1557241181.89 , 406 , 0 , 25.0
1557241186.94 , 406 , 0 , 25.0
1557241191.98 , 409 , 1 , 25.0
1557241197.03 , 409 , 1 , 25.0
1557241202.08 , 406 , 0 , 25.0
1557241207.13 , 406 , 0 , 25.0
1557241212.17 , 409 , 1 , 25.0
1557241217.22 , 406 , 0 , 25.0
1557241222.27 , 406 , 0 , 25.0
1557241227.31 , 400 , 0 , 25.0
1557241232.38 , 409 , 1 , 25.0
1557241237.43 , 406 , 0 , 25.0
1557241242.47 , 406 , 0 , 25.0
1557241247.52 , 406 , 0 , 24.5449802774
1557241252.57 , 400 , 0 , 24.5449802774
1557241257.67 , 400 , 0 , 24.5449802774
1557241262.72 , 403 , 0 , 24.5449802774
1557241267.77 , 400 , 0 , 24.5449802774
1557241272.82 , 403 , 0 , 24.5449802774
1557241277.89 , 400 , 0 , 24.5449802774
1557241282.94 , 403 , 0 , 24.5449802774
1557241288.01 , 403 , 0 , 24.5449802774
1557241293.05 , 403 , 0 , 24.5449802774
1557241298.1 , 403 , 0 , 24.5449802774
1557241303.15 , 400 , 0 , 24.5449802774
1557241308.2 , 403 , 0 , 24.5449802774
1557241313.24 , 400 , 0 , 24.5449802774
1557241318.32 , 403 , 0 , 24.5449802774
1557241323.35 , 400 , 0 , 24.5449802774
1557241328.42 , 400 , 0 , 24.5449802774
1557241333.47 , 408 , 1 , 24.5449802774
1557241338.53 , 408 , 1 , 24.5449802774
1557241343.56 , 408 , 1 , 24.5449802774
1557241348.61 , 408 , 1 , 24.5449802774
1557241353.66 , 408 , 1 , 24.5449802774
1557241358.73 , 408 , 1 , 24.5449802774
1557241363.78 , 400 , 0 , 24.5449802774
1557241368.82 , 405 , 0 , 24.5449802774
1557241373.87 , 405 , 0 , 24.5449802774
1557241378.92 , 405 , 0 , 24.5449802774
1557241383.97 , 405 , 0 , 24.5449802774
1557241389.01 , 400 , 0 , 24.5449802774
1557241394.06 , 405 , 0 , 24.5449802774
1557241399.11 , 400 , 0 , 24.5449802774
1557241404.16 , 405 , 0 , 24.5449802774
1557241409.2 , 400 , 0 , 24.5449802774
1557241414.25 , 400 , 0 , 24.5449802774
1557241419.3 , 400 , 0 , 24.2087810946
1557241424.36 , 407 , 1 , 24.5449802774
1557241429.41 , 409 , 1 , 24.5449802774
1557241434.45 , 409 , 1 , 24.5449802774
1557241439.5 , 409 , 1 , 24.5449802774
1557241444.55 , 409 , 1 , 24.5449802774
1557241449.64 , 409 , 1 , 24.5449802774
1557241454.69 , 409 , 1 , 24.5449802774
1557241459.74 , 409 , 1 , 24.5449802774
1557241464.78 , 407 , 1 , 24.5449802774
1557241469.83 , 409 , 1 , 24.5449802774
1557241474.88 , 409 , 1 , 24.5449802774
1557241479.93 , 409 , 1 , 24.5449802774
1557241484.98 , 407 , 1 , 24.5449802774
1557241490.02 , 400 , 0 , 24.5449802774
1557241495.07 , 407 , 1 , 24.5449802774
1557241500.1 , 407 , 1 , 24.5449802774
1557241505.13 , 409 , 1 , 24.5449802774
1557241510.18 , 409 , 1 , 24.5449802774
1557241515.22 , 407 , 1 , 24.5449802774
1557241520.27 , 409 , 1 , 24.5449802774
1557241525.32 , 407 , 1 , 24.5449802774
1557241530.37 , 407 , 1 , 24.5449802774
1557241535.41 , 409 , 1 , 24.5449802774
1557241540.46 , 409 , 1 , 24.5449802774
1557241545.51 , 409 , 1 , 24.5449802774
1557241550.56 , 407 , 1 , 24.5449802774
1557241555.62 , 407 , 1 , 24.5449802774
1557241560.67 , 409 , 1 , 24.5449802774
1557241565.74 , 409 , 1 , 24.5449802774
1557241570.79 , 409 , 1 , 24.5449802774
1557241575.86 , 407 , 1 , 24.5449802774
1557241580.9 , 414 , 2 , 24.5449802774
1557241585.95 , 409 , 1 , 24.5449802774
1557241591.01 , 409 , 1 , 24.5449802774
1557241596.06 , 409 , 1 , 24.5449802774
1557241601.1 , 414 , 2 , 24.5449802774
1557241606.15 , 417 , 2 , 24.5449802774
1557241611.2 , 409 , 1 , 24.5449802774
1557241616.29 , 414 , 2 , 24.5449802774
1557241621.34 , 409 , 1 , 24.5449802774
1557241626.38 , 409 , 1 , 24.5449802774
1557241631.43 , 414 , 2 , 24.5449802774
1557241636.48 , 417 , 2 , 24.5449802774
1557241641.53 , 423 , 3 , 24.5449802774
1557241646.57 , 417 , 2 , 24.5449802774
1557241651.62 , 414 , 2 , 24.5449802774
1557241656.67 , 414 , 2 , 24.5449802774
1557241661.72 , 409 , 1 , 24.5449802774
1557241666.76 , 409 , 1 , 24.5449802774
1557241671.81 , 409 , 1 , 24.5449802774
1557241676.86 , 407 , 1 , 24.5449802774
1557241681.91 , 409 , 1 , 24.5449802774
1557241686.95 , 409 , 1 , 24.5449802774
1557241692.0 , 409 , 1 , 24.5449802774
1557241697.05 , 409 , 1 , 24.5449802774
1557241702.11 , 409 , 1 , 24.5449802774
1557241707.16 , 414 , 2 , 24.5449802774
1557241712.21 , 414 , 2 , 24.5449802774
1557241717.26 , 414 , 2 , 24.5449802774
1557241722.33 , 409 , 1 , 24.5449802774
1557241727.38 , 407 , 1 , 24.5449802774
1557241732.43 , 409 , 1 , 24.5449802774
1557241737.48 , 409 , 1 , 24.5449802774
1557241742.53 , 407 , 1 , 24.5449802774
1557241747.57 , 407 , 1 , 24.5449802774
1557241752.62 , 407 , 1 , 24.5449802774
1557241757.71 , 409 , 1 , 24.5449802774
1557241762.76 , 409 , 1 , 24.5449802774
1557241767.8 , 407 , 1 , 24.5449802774
1557241772.85 , 407 , 1 , 24.5449802774
1557241777.9 , 400 , 0 , 24.2087810946
1557241782.94 , 407 , 1 , 24.5449802774
1557241787.99 , 407 , 1 , 24.5449802774
1557241793.04 , 409 , 1 , 24.5449802774
1557241798.09 , 409 , 1 , 24.5449802774
1557241803.13 , 400 , 0 , 24.5449802774
1557241808.18 , 407 , 1 , 24.5449802774
1557241813.23 , 407 , 1 , 24.5449802774
1557241818.27 , 407 , 1 , 24.5449802774
1557241823.32 , 407 , 1 , 24.5449802774
1557241828.37 , 400 , 0 , 24.5449802774
1557241833.42 , 407 , 1 , 24.5449802774
1557241838.46 , 407 , 1 , 24.5449802774
1557241843.51 , 400 , 0 , 24.5449802774
1557241848.58 , 400 , 0 , 24.5449802774
1557241853.62 , 407 , 1 , 24.5449802774
1557241858.69 , 407 , 1 , 24.5449802774
1557241863.74 , 407 , 1 , 24.5449802774
1557241868.78 , 400 , 0 , 24.5449802774
1557241873.85 , 400 , 0 , 24.5449802774
1557241878.89 , 405 , 0 , 24.5449802774
1557241883.92 , 407 , 1 , 24.5449802774
1557241888.95 , 407 , 1 , 24.5449802774
1557241893.99 , 407 , 1 , 24.5449802774
1557241899.12 , 414 , 2 , 24.5449802774
1557241904.15 , 414 , 2 , 24.5449802774
1557241909.18 , 414 , 2 , 24.5449802774
1557241914.22 , 414 , 2 , 24.5449802774
1557241919.27 , 407 , 1 , 24.5449802774
